from_id,relationship_type,to_id,established_by,rating_required
ASPICE_PAM_4.1,DEFINES,Primary,null,null
ASPICE_PAM_4.1,DEFINES,Supporting,null,null
ASPICE_PAM_4.1,DEFINES,Organizational,null,null
ASPICE_PAM_4.1,DEFINES,ACQ,null,null
ASPICE_PAM_4.1,DEFINES,SPL,null,null
ASPICE_PAM_4.1,DEFINES,SYS,null,null
ASPICE_PAM_4.1,DEFINES,VAL,null,null
ASPICE_PAM_4.1,DEFINES,SWE,null,null
ASPICE_PAM_4.1,DEFINES,MLE,null,null
ASPICE_PAM_4.1,DEFINES,HWE,null,null
ASPICE_PAM_4.1,DEFINES,SUP,null,null
ASPICE_PAM_4.1,DEFINES,MAN,null,null
ASPICE_PAM_4.1,DEFINES,PIM,null,null
ASPICE_PAM_4.1,DEFINES,REU,null,null
CS_PAM_2.0,SUPPLEMENTS,ASPICE_PAM_4.1,null,null
CS_PAM_2.0,DEFINES,SEC,null,null
CS_PAM_2.0,EXTENDS_PROCESS_GROUP,ACQ,null,null
CS_PAM_2.0,EXTENDS_PROCESS_GROUP,MAN,null,null
ACQ,PART_OF,Primary,null,null
SPL,PART_OF,Primary,null,null
SYS,PART_OF,Primary,null,null
VAL,PART_OF,Primary,null,null
SWE,PART_OF,Primary,null,null
MLE,PART_OF,Primary,null,null
HWE,PART_OF,Primary,null,null
SUP,PART_OF,Supporting,null,null
MAN,PART_OF,Organizational,null,null
PIM,PART_OF,Organizational,null,null
REU,PART_OF,Organizational,null,null
SEC,PART_OF,Primary,null,null
ACQ.4,HAS_BASE_PRACTICE,ACQ.4.BP1,null,null
ACQ.4,HAS_BASE_PRACTICE,ACQ.4.BP2,null,null
ACQ.4,HAS_BASE_PRACTICE,ACQ.4.BP3,null,null
ACQ.4,HAS_BASE_PRACTICE,ACQ.4.BP4,null,null
ACQ.4,HAS_BASE_PRACTICE,ACQ.4.BP5,null,null
ACQ.4,BELONGS_TO,ACQ,null,null
ACQ.4,HAS_OUTCOME,ACQ.4.OUT.1,null,null
ACQ.4,HAS_OUTCOME,ACQ.4.OUT.2,null,null
ACQ.4,HAS_OUTCOME,ACQ.4.OUT.3,null,null
ACQ.4,HAS_OUTCOME,ACQ.4.OUT.4,null,null
ACQ.2,HAS_BASE_PRACTICE,ACQ.2.BP1,null,null
ACQ.2,HAS_BASE_PRACTICE,ACQ.2.BP2,null,null
ACQ.2,HAS_BASE_PRACTICE,ACQ.2.BP3,null,null
ACQ.2,HAS_BASE_PRACTICE,ACQ.2.BP4,null,null
ACQ.2,BELONGS_TO,ACQ,null,null
ACQ.2,HAS_OUTCOME,ACQ.2.OUT.1,null,null
ACQ.2,HAS_OUTCOME,ACQ.2.OUT.2,null,null
ACQ.2,HAS_OUTCOME,ACQ.2.OUT.3,null,null
ACQ.2,HAS_OUTCOME,ACQ.2.OUT.4,null,null
