label,id,characteristics,date,description,domain,level,name,publisher,purpose,scope_statement,source_document,status,title,type,version
Document,ASPICE_PAM_4.1,,2026-08-24,,,,,VDA Quality Management Center,,,,Released,Automotive SPICE® Process Reference and Assessment Model,base,4.1
Document,CS_PAM_2.0,,2025-03-28,,,,,VDA Quality Management Center,,,,Released,Automotive SPICE® Process Reference and Assessment Model for Cybersecurity Engineering,supplement,2.0
ProcessCategory,Primary,,,,,,Primary processes category,,,,ASPICE_PAM_4.1,,,,
ProcessCategory,Supporting,,,,,,Supporting processes category,,,,ASPICE_PAM_4.1,,,,
ProcessCategory,Organizational,,,,,,Organizational processes category,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,ACQ,,,,,,Acquisition process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,SPL,,,,,,Supply process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,SYS,,,,,,System Engineering process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,VAL,,,,,,Validation process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,SWE,,,,,,Software Engineering process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,MLE,,,,,,Machine Learning Engineering process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,HWE,,,,,,Hardware Engineering process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,SUP,,,,,,Supporting process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,MAN,,,,,,Management process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,PIM,,,,,,Process Improvement process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,REU,,,,,,Reuse process group,,,,ASPICE_PAM_4.1,,,,
ProcessGroup,SEC,,,,,,Cybersecurity Engineering process group,,,,CS_PAM_2.0,,,,
Process,ACQ.4,,,,generic,,Supplier Monitoring,,Track and assess the performance of an external contract-based supplier against agreed commitments.,,ASPICE_PAM_4.1,,,,
Process,ACQ.2,,,,cybersecurity,,Supplier Request and Selection,,Select a supplier for a commitment/agreement based on relevant criteria.,,CS_PAM_2.0,,,,
Process,SPL.2,,,,generic,,Product Release,,Control the release of a product to the intended customer.,,ASPICE_PAM_4.1,,,,
Process,SYS.1,,,,generic,,Requirements Elicitation,,"Gather, analyze, and track evolving stakeholder needs and requirements throughout the lifecycle.",,ASPICE_PAM_4.1,,,,
Process,SYS.2,,,,generic,,System Requirements Analysis,,Establish a structured and analyzed set of system requirements consistent with stakeholder requirements.,,ASPICE_PAM_4.1,,,,
Process,SYS.3,,,,generic,,System Architectural Design,,Establish a system architectural design and identify which system requirements are to be allocated to which elements.,,ASPICE_PAM_4.1,,,,
Process,SYS.4,,,,generic,,System Integration and Integration Verification,,Integrate the system elements and verify that the integrated system elements are consistent with the system architecture.,,ASPICE_PAM_4.1,,,,
Process,SYS.5,,,,generic,,System Verification,,Confirm that the integrated system is consistent with the system requirements.,,ASPICE_PAM_4.1,,,,
Process,VAL.1,,,,generic,,Validation,,Provide evidence that the end product satisfies the intended use expectations in its operational target environment.,,ASPICE_PAM_4.1,,,,
Process,SWE.1,,,,generic,,Software Requirements Analysis,,Establish a structured and analyzed set of software requirements consistent with system requirements and system architecture.,,ASPICE_PAM_4.1,,,,
Process,SWE.2,,,,generic,,Software Architectural Design,,Establish an analyzed software architecture consistent with the software requirements.,,ASPICE_PAM_4.1,,,,
Process,SWE.3,,,,generic,,Software Detailed Design and Unit Construction,,Establish a software detailed design and construct software units consistent with the software detailed design.,,ASPICE_PAM_4.1,,,,
Process,SWE.4,,,,generic,,Software Unit Verification,,Verify that software units are consistent with the software detailed design.,,ASPICE_PAM_4.1,,,,
Process,SWE.5,,,,generic,,Software Component Verification and Integration Verification,,Verify that software components are consistent with the software architectural design and integrate the software elements.,,ASPICE_PAM_4.1,,,,
Process,SWE.6,,,,generic,,Software Verification,,Confirm that the integrated software is consistent with the software requirements.,,ASPICE_PAM_4.1,,,,
Process,MLE.1,,,,ml,,Machine Learning Requirements Analysis,,Refine the machine learning-related software requirements into a set of ML requirements.,,ASPICE_PAM_4.1,,,,
Process,MLE.2,,,,ml,,Machine Learning Architecture,,Establish a ML architecture supporting training and deployment of a ML model consistent with ML requirements.,,ASPICE_PAM_4.1,,,,
Process,MLE.3,,,,ml,,Machine Learning Training,,Optimize the ML model to meet the defined ML requirements.,,ASPICE_PAM_4.1,,,,
Process,MLE.4,,,,ml,,Machine Learning Model Testing,,Ensure the compliance of the trained ML model and the deployed ML model with the ML requirements.,,ASPICE_PAM_4.1,,,,
Process,HWE.1,,,,hardware,,Hardware Requirements Analysis,,Establish a structured and analyzed set of hardware requirements consistent with system requirements.,,ASPICE_PAM_4.1,,,,
Process,HWE.2,,,,hardware,,Hardware Design,,Provide an analyzed design consistent with hardware requirements suitable for manufacturing.,,ASPICE_PAM_4.1,,,,
Process,HWE.3,,,,hardware,,Verification against Hardware Design,,Ensure that production data compliant hardware is verified for compliance with the hardware design.,,ASPICE_PAM_4.1,,,,
Process,HWE.4,,,,hardware,,Verification against Hardware Requirements,,Ensure that the complete hardware is verified to be consistent with the hardware requirements.,,ASPICE_PAM_4.1,,,,
Process,SUP.1,,,,generic,,Quality Assurance,,Provide independent and objective assurance that work products and processes comply with defined criteria.,,ASPICE_PAM_4.1,,,,
Process,SUP.8,,,,generic,,Configuration Management,,Establish and maintain the integrity of all identified work products of a process or project.,,ASPICE_PAM_4.1,,,,
Process,SUP.9,,,,generic,,Problem Resolution Management,,"Ensure that problems are identified, analyzed, managed, and controlled to resolution.",,ASPICE_PAM_4.1,,,,
Process,SUP.10,,,,generic,,Change Request Management,,"Ensure that change requests are managed, tracked, and implemented.",,ASPICE_PAM_4.1,,,,
Process,SUP.11,,,,ml,,Machine Learning Data Management,,Ensure that ML data is managed and maintained throughout the ML lifecycle.,,ASPICE_PAM_4.1,,,,
Process,MAN.3,,,,generic,,Project Management,,"Identify, establish, and control the activities and resources necessary to produce a product.",,ASPICE_PAM_4.1,,,,
Process,MAN.5,,,,generic,,Risk Management,,"Continuously identify, analyze, treat, and monitor risks.",,ASPICE_PAM_4.1,,,,
Process,MAN.6,,,,generic,,Measurement,,"Collect, analyze, and report data relating to products and processes.",,ASPICE_PAM_4.1,,,,
Process,MAN.7,,,,cybersecurity,,Cybersecurity Risk Management,,"Regularly identify, analyze, prioritize, and monitor risks of damage to relevant stakeholders.",,CS_PAM_2.0,,,,
Process,PIM.3,,,,generic,,Process Improvement,,Continuously improve the effectiveness and efficiency of processes.,,ASPICE_PAM_4.1,,,,
Process,REU.2,,,,generic,,Management of Products for Reuse,,"Ensure that reused work products are analyzed, verified, and approved for their target context.",,ASPICE_PAM_4.1,,,,
Process,SEC.1,,,,cybersecurity,,Cybersecurity Requirements Elicitation,,Specify cybersecurity goals and requirements from outcomes of cybersecurity risk management.,,CS_PAM_2.0,,,,
Process,SEC.2,,,,cybersecurity,,Cybersecurity Implementation,,"Refine the design of system, software and hardware consistent with cybersecurity requirements.",,CS_PAM_2.0,,,,
Process,SEC.3,,,,cybersecurity,,Risk Treatment Verification,,Confirm that implementation of design and integration of components comply with cybersecurity requirements.,,CS_PAM_2.0,,,,
Process,SEC.4,,,,cybersecurity,,Risk Treatment Validation,,Confirm that the integrated system achieves the associated cybersecurity goals.,,CS_PAM_2.0,,,,
CapabilityLevel,CL0,,,The process is not implemented or fails to achieve its process purpose.,,0,Incomplete process,,,,,,,,
CapabilityLevel,CL1,,,The implemented process achieves its process purpose.,,1,Performed process,,,,,,,,
CapabilityLevel,CL2,,,"The performed process is now implemented in a managed fashion and its work products are appropriately established, controlled and maintained.",,2,Managed process,,,,,,,,
CapabilityLevel,CL3,,,The managed process is now implemented using a defined process capable of achieving its process outcomes.,,3,Established process,,,,,,,,
CapabilityLevel,CL4,,,The established process now operates predictively within defined limits to achieve its process outcomes.,,4,Predictable process,,,,,,,,
CapabilityLevel,CL5,,,The predictable process is now continually improved to respond to organizational change.,,5,Innovating process,,,,,,,,
ProcessAttribute,PA 1.1,,,,,,Process performance,,,A measure of the extent to which the process purpose is achieved.,,,,,
ProcessAttribute,PA 2.1,,,,,,Process performance management,,,A measure of the extent to which the performance of the process is managed.,,,,,
ProcessAttribute,PA 2.2,,,,,,Work product management,,,A measure of the extent to which the work products produced by the process are appropriately managed.,,,,,
ProcessAttribute,PA 3.1,,,,,,Process definition,,,A measure of the extent to which a standard process is maintained to support the deployment of the defined process.,,,,,
ProcessAttribute,PA 3.2,,,,,,Process deployment,,,A measure of the extent to which the standard process is deployed as a defined process to achieve its process outcomes.,,,,,
ProcessAttribute,PA 4.1,,,,,,Quantitative analysis,,,"A measure of the extent to which information needs are defined, relationships between process elements are identified and data are collected.",,,,,
ProcessAttribute,PA 4.2,,,,,,Quantitative control,,,A measure of the extent to which objective data are used to manage process performance that is predictable.,,,,,
ProcessAttribute,PA 5.1,,,,,,Process innovation,,,A measure of the extent to which changes to the process are identified from investigations of innovative approaches.,,,,,
ProcessAttribute,PA 5.2,,,,,,Process innovation implementation,,,"A measure of the extent to which changes to the definition, management and performance of the process achieves the relevant process innovation objectives.",,,,,
InformationItem,02-01,[To be populated by LLM extraction from Annex B],,,,,Commitment/Agreement,,,,SHARED,,,,
InformationItem,03-50,[To be populated by LLM extraction from Annex B],,,,,Verification Measure Data,,,,SHARED,,,,
InformationItem,04-04,[To be populated by LLM extraction from Annex B],,,,,Software Architecture,,,,SHARED,,,,
InformationItem,04-05,[To be populated by LLM extraction from Annex B],,,,,Software Detailed Design,,,,SHARED,,,,
InformationItem,04-06,[To be populated by LLM extraction from Annex B],,,,,System Architecture,,,,SHARED,,,,
InformationItem,04-52,[To be populated by LLM extraction from Annex B],,,,,Hardware Architecture,,,,SHARED,,,,
InformationItem,04-53,[To be populated by LLM extraction from Annex B],,,,,Hardware Detailed Design,,,,SHARED,,,,
InformationItem,08-55,[To be populated by LLM extraction from Annex B],,,,,Risk Treatment,,,,SHARED,,,,
InformationItem,08-57,[To be populated by LLM extraction from Annex B],,,,,Validation Measure Selection Set,,,,SHARED,,,,
InformationItem,08-58,[To be populated by LLM extraction from Annex B],,,,,Verification Measure Selection Set,,,,SHARED,,,,
InformationItem,08-60,[To be populated by LLM extraction from Annex B],,,,,Verification Measure,,,,SHARED,,,,
InformationItem,13-51,[To be populated by LLM extraction from Annex B],,,,,Consistency Evidence,,,,SHARED,,,,
InformationItem,13-52,[To be populated by LLM extraction from Annex B],,,,,Communication Evidence,,,,SHARED,,,,
InformationItem,15-51,[To be populated by LLM extraction from Annex B],,,,,Analysis Results,,,,SHARED,,,,
InformationItem,15-52,[To be populated by LLM extraction from Annex B],,,,,Verification Results,,,,SHARED,,,,
InformationItem,17-00,[To be populated by LLM extraction from Annex B],,,,,Requirement,,,,SHARED,,,,
InformationItem,17-54,[To be populated by LLM extraction from Annex B],,,,,Requirement Attribute,,,,SHARED,,,,
InformationItem,08-56,[To be populated by LLM extraction from Annex B],,,,,Schedule,,,,ASPICE_PAM_4.1,,,,
InformationItem,10-00,[To be populated by LLM extraction from Annex B],,,,,Process Description,,,,ASPICE_PAM_4.1,,,,
InformationItem,13-08,[To be populated by LLM extraction from Annex B],,,,,Baseline,,,,ASPICE_PAM_4.1,,,,
InformationItem,13-19,[To be populated by LLM extraction from Annex B],,,,,Review Evidence,,,,ASPICE_PAM_4.1,,,,
InformationItem,14-10,[To be populated by LLM extraction from Annex B],,,,,Work Package,,,,ASPICE_PAM_4.1,,,,
InformationItem,17-05,[To be populated by LLM extraction from Annex B],,,,,Requirements for Work Products,,,,ASPICE_PAM_4.1,,,,
InformationItem,18-58,[To be populated by LLM extraction from Annex B],,,,,Process Performance Objectives,,,,ASPICE_PAM_4.1,,,,
InformationItem,19-01,[To be populated by LLM extraction from Annex B],,,,,Process Performance Strategy,,,,ASPICE_PAM_4.1,,,,
InformationItem,02-50,[To be populated by LLM extraction from Annex B],,,,,Interface Agreement,,,,CS_PAM_2.0,,,,
InformationItem,03-55,[To be populated by LLM extraction from Annex B],,,,,Validation Measure Data,,,,CS_PAM_2.0,,,,
InformationItem,08-59,[To be populated by LLM extraction from Annex B],,,,,Validation Measure,,,,CS_PAM_2.0,,,,
InformationItem,12-01,[To be populated by LLM extraction from Annex B],,,,,Request for Quotation,,,,CS_PAM_2.0,,,,
InformationItem,13-24,[To be populated by LLM extraction from Annex B],,,,,Validation Results,,,,CS_PAM_2.0,,,,
InformationItem,15-09,[To be populated by LLM extraction from Annex B],,,,,Risk Status,,,,CS_PAM_2.0,,,,
InformationItem,15-21,[To be populated by LLM extraction from Annex B],,,,,Supplier Evaluation,,,,CS_PAM_2.0,,,,
InformationItem,15-50,[To be populated by LLM extraction from Annex B],,,,,Vulnerability Analysis Evidence,,,,CS_PAM_2.0,,,,
InformationItem,17-51,[To be populated by LLM extraction from Annex B],,,,,Cybersecurity Goals,,,,CS_PAM_2.0,,,,
InformationItem,17-52,[To be populated by LLM extraction from Annex B],,,,,Cybersecurity Controls,,,,CS_PAM_2.0,,,,
InformationItem,17-53,[To be populated by LLM extraction from Annex B],,,,,Cybersecurity Threat Scenario,,,,CS_PAM_2.0,,,,
InformationItem,18-50,[To be populated by LLM extraction from Annex B],,,,,Supplier Evaluation Criteria,,,,CS_PAM_2.0,,,,
