from_id,relationship_type,to_id,established_by,rating_required,source,type
CS_PAM_2.0,SUPPLEMENTS,ASPICE_PAM_4.1,,,,
ASPICE_PAM_4.1,DEFINES,Primary,,,,
ASPICE_PAM_4.1,DEFINES,Supporting,,,,
ASPICE_PAM_4.1,DEFINES,Organizational,,,,
ACQ,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,ACQ,,,,
SPL,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,SPL,,,,
SYS,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,SYS,,,,
VAL,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,VAL,,,,
SWE,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,SWE,,,,
MLE,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,MLE,,,,
HWE,PART_OF,Primary,,,,
ASPICE_PAM_4.1,DEFINES,HWE,,,,
SUP,PART_OF,Supporting,,,,
ASPICE_PAM_4.1,DEFINES,SUP,,,,
MAN,PART_OF,Organizational,,,,
ASPICE_PAM_4.1,DEFINES,MAN,,,,
PIM,PART_OF,Organizational,,,,
ASPICE_PAM_4.1,DEFINES,PIM,,,,
REU,PART_OF,Organizational,,,,
ASPICE_PAM_4.1,DEFINES,REU,,,,
SEC,PART_OF,Primary,,,,
CS_PAM_2.0,DEFINES,SEC,,,,
CS_PAM_2.0,EXTENDS_PROCESS_GROUP,MAN,,,,
CS_PAM_2.0,EXTENDS_PROCESS_GROUP,ACQ,,,,
ACQ.4,BELONGS_TO,ACQ,,,,
ACQ.2,BELONGS_TO,ACQ,,,,
SPL.2,BELONGS_TO,SPL,,,,
SYS.1,BELONGS_TO,SYS,,,,
SYS.2,BELONGS_TO,SYS,,,,
SYS.3,BELONGS_TO,SYS,,,,
SYS.4,BELONGS_TO,SYS,,,,
SYS.5,BELONGS_TO,SYS,,,,
VAL.1,BELONGS_TO,VAL,,,,
SWE.1,BELONGS_TO,SWE,,,,
SWE.2,BELONGS_TO,SWE,,,,
SWE.3,BELONGS_TO,SWE,,,,
SWE.4,BELONGS_TO,SWE,,,,
SWE.5,BELONGS_TO,SWE,,,,
SWE.6,BELONGS_TO,SWE,,,,
MLE.1,BELONGS_TO,MLE,,,,
MLE.2,BELONGS_TO,MLE,,,,
MLE.3,BELONGS_TO,MLE,,,,
MLE.4,BELONGS_TO,MLE,,,,
HWE.1,BELONGS_TO,HWE,,,,
HWE.2,BELONGS_TO,HWE,,,,
HWE.3,BELONGS_TO,HWE,,,,
HWE.4,BELONGS_TO,HWE,,,,
SUP.1,BELONGS_TO,SUP,,,,
SUP.8,BELONGS_TO,SUP,,,,
SUP.9,BELONGS_TO,SUP,,,,
SUP.10,BELONGS_TO,SUP,,,,
SUP.11,BELONGS_TO,SUP,,,,
MAN.3,BELONGS_TO,MAN,,,,
MAN.5,BELONGS_TO,MAN,,,,
MAN.6,BELONGS_TO,MAN,,,,
MAN.7,BELONGS_TO,MAN,,,,
PIM.3,BELONGS_TO,PIM,,,,
REU.2,BELONGS_TO,REU,,,,
SEC.1,BELONGS_TO,SEC,,,,
SEC.2,BELONGS_TO,SEC,,,,
SEC.3,BELONGS_TO,SEC,,,,
SEC.4,BELONGS_TO,SEC,,,,
PA 1.1,APPLIES_TO,CL1,,,,
PA 2.1,APPLIES_TO,CL2,,,,
PA 2.2,APPLIES_TO,CL2,,,,
PA 3.1,APPLIES_TO,CL3,,,,
PA 3.2,APPLIES_TO,CL3,,,,
PA 4.1,APPLIES_TO,CL4,,,,
PA 4.2,APPLIES_TO,CL4,,,,
PA 5.1,APPLIES_TO,CL5,,,,
PA 5.2,APPLIES_TO,CL5,,,,
CL1,REQUIRES_FOR_LEVEL,PA 1.1,,Largely_or_Fully,,
CL2,REQUIRES_FOR_LEVEL,PA 1.1,,Fully,,
CL2,REQUIRES_FOR_LEVEL,PA 2.1,,Largely_or_Fully,,
CL2,REQUIRES_FOR_LEVEL,PA 2.2,,Largely_or_Fully,,
CL3,REQUIRES_FOR_LEVEL,PA 1.1,,Fully,,
CL3,REQUIRES_FOR_LEVEL,PA 2.1,,Fully,,
CL3,REQUIRES_FOR_LEVEL,PA 2.2,,Fully,,
CL3,REQUIRES_FOR_LEVEL,PA 3.1,,Largely_or_Fully,,
CL3,REQUIRES_FOR_LEVEL,PA 3.2,,Largely_or_Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 1.1,,Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 2.1,,Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 2.2,,Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 3.1,,Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 3.2,,Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 4.1,,Largely_or_Fully,,
CL4,REQUIRES_FOR_LEVEL,PA 4.2,,Largely_or_Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 1.1,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 2.1,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 2.2,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 3.1,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 3.2,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 4.1,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 4.2,,Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 5.1,,Largely_or_Fully,,
CL5,REQUIRES_FOR_LEVEL,PA 5.2,,Largely_or_Fully,,
17-53,BIDIRECTIONAL_TRACEABILITY,17-51,SEC.1.BP2,,Annex_D_CS_PAM_2.0,traceability
17-51,BIDIRECTIONAL_TRACEABILITY,08-59,SEC.4.BP4,,Annex_D_CS_PAM_2.0,traceability
17-00,BIDIRECTIONAL_TRACEABILITY,08-60,SEC.2.BP2|SEC.3.BP4,,Annex_D_CS_PAM_2.0,traceability
08-59,BIDIRECTIONAL_TRACEABILITY,13-24,SEC.4.BP4,,Annex_D_CS_PAM_2.0,traceability
08-60,BIDIRECTIONAL_TRACEABILITY,15-52,SEC.3.BP4,,Annex_D_CS_PAM_2.0,traceability
17-51,CONSISTENCY,17-00,SEC.1.BP2,,Annex_D_CS_PAM_2.0,consistency
17-00,CONSISTENCY,04-06,SEC.2.BP2,,Annex_D_CS_PAM_2.0,consistency
04-06,CONSISTENCY,04-05,SEC.2.BP6,,Annex_D_CS_PAM_2.0,consistency
